precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.020;Piso en Calle de las Higueras 59;30;1; sin ascensor;/inmueble/105985526/;"
DISPONIBLE EN: Noviembre.
Reserve en línea haciendo clic bajo el mapa en ""Enlace adicional"".
No se aceptan alquileres inferiores a 5 meses
Edad aceptada: Desde hace 18
*************
¿CÓMO FUNCIONA SPACEST.COM?
Spacest.com es una plataforma online de alquileres de media-larga duración que nace como garantía para el
";latina
1.035;Piso en Calle de las Higueras 59;35;1; sin ascensor;/inmueble/105982182/;"
DISPONIBLE EN: Noviembre.
Reserve en línea haciendo clic bajo el mapa en ""Enlace adicional"".
No se aceptan alquileres inferiores a 2 meses
Edad aceptada: Desde hace 18
*************
¿CÓMO FUNCIONA SPACEST.COM?
Spacest.com es una plataforma online de alquileres de media-larga duración que nace como garantía para el
";latina
1.900;Piso en Calle de los Yébenes Aluche;125;4;Planta 1ª exterior con ascensor;/inmueble/109266526/;"
Agencia inmobiliaria de MADRID Oficina Tecnocasa Desarrollo inmobiliario Aluche-Los Yébenes S. L. de MADRID ALQUILA AMPLIA VIVIENDA DE 4 DORMITORIOS.
Vivienda con ascensor, calefacción central y parking comunitario. Dispone de conserje. Está distribuido en: Cocina, salón, 2 baños, 4 dormitorios, 2 terrazas y parking.
";latina
1.450;Piso en Calle de Caramuel Puerta del Ángel;72;2;Planta 2ª exterior sin ascensor;/inmueble/96204902/;"
Inmobiliaria Emmanuel
sin comision de agencia
Ofrecemos este precioso piso en la Calle Caramuel. Amueblado, con materiales de primera calidad en un edificio rehabilitado íntegramente por nuestro equipo. Wifi y limpieza básica semanal incluidos.
Está en Puerta del Ángel y cuenta con dos dormitorios, un cuarto de baño,
";latina
1.275;Piso en Calle de Maqueda Aluche;65;3;Planta 3ª exterior con ascensor;/inmueble/109265961/;"
• IDEAL PARA FAMILIA, TRABAJADORES
• Disponibilidad 1ª Semana de Octubre 2025
• Piso Distribuido en: 3 Habitaciones, 1 Cuarto de baño con plato de ducha, Cocina equipada, Salón
*Dispone de: Bomba frío/calor, Armarios, Calefacción: Gas Natural
*Finca con: Ascensor
• Estación de metro cercana:   Empalme (L5) también m
";latina
1.200;Estudio en Calle de Caramuel Puerta del Ángel;Bajo;50;;/inmueble/108531711/;"
GALOTA INVERSIÓN E INMOBILIARIA OFRECE ESTUDIO CÉNTRICO COMPLETAMENTE AMUEBLADO
*****Disponible el 1ro de Febrero de 2026****
Estancia mínima de 3 meses y máxima de 11 meses
Comunícate con nosotros escribiendo al WhatsApp 604_89_3314
Distribución:
- Área de dormir elevada y amueblada con cama doble y mesilla de no
";latina
1.100;Piso en Puerta del Ángel Madrid;45;1;Planta 1ª exterior sin ascensor;/inmueble/105339743/;"
MAGERIT HOMES ALQUILA INMEJORABLE PISO DE 1 DORMITORIO AMPLIO EN PUERTA DEL ANGEL ¡Descubre tu nuevo hogar en Puerta del Ángel! Este inmejorable piso de obra nueva te ofrece una vida de confort y modernidad. Con 45 metros cuadrados perfectamente distribuidos, disfrutarás de un amplio salón ideal para relajarte o recibi
";latina
900;Piso en Paseo De Extremadura Puerta del Ángel;50;1;Planta 1ª exterior sin ascensor;/inmueble/95331525/;"
ALQUILOFÁCIL MONCLOA alquila hermoso piso recién reformado!
Este piso sin amueblar cuenta con amplio y luminoso salón, con un precioso balcón, aire acondicionado, una habitación espaciosa, cocina completamente equipada con nevera, horno, lavadora, despensas, etc, cuenta con un baño completo con plato de ducha.
Está u
";latina
1.200;Piso en Calle de Pablo Sarasate 4;86;2;Planta 2ª exterior con ascensor;/inmueble/107393382/;"
Recién reformado a estrenar, piso muy luminoso y en zona tranquila.
Se alquila a través del plan alquila de la comunidad de Madrid, ellos se encargan de hacer un estudio de viabilidad, piden que el alquiler no supere el 40% de los ingresos totales de todos los inquilinos, por lo que los ingresos mensuales deben superar
";latina
1.750;Piso en Calle Villavieja Lucero;136;4;Planta 5ª exterior con ascensor;/inmueble/108724381/;"
¡Descubre esta fantástica oportunidad en la zona de Batan, en el distrito de Latina! Este amplio piso de 136 metros cuadrados, construido en 1971, combina comodidad y luminosidad en un entorno privilegiado. Con cuatro dormitorios y dos baños, es perfecto para familias que buscan espacio y funcionalidad.
La vivienda se
";latina
1.150;Piso en CL Arrayanes Aluche;67;2;Planta 3ª exterior con ascensor;/inmueble/109264693/;"
BASTIA INMOBILIARIA alquila excelente piso en Calle Arrayanes, Zona Latina.
Este moderno y luminoso piso de 67 m² construidos se encuentra en una tercera planta con ascensor, lo que facilita el acceso al inmueble. Con una distribución práctica y en muy buen estado de conservación, la vivienda cuenta con 2 habitaciones
";latina
1.850;Piso en Calle de Navas del Rey Puerta del Ángel;80;3;Planta 2ª exterior sin ascensor;/inmueble/109188341/;"
¡ALQUILOFACIL MONCLOA ALQUILA ESTUPENDO PISO EN MADRID!
DISPONIBILIDAD INMEDIATA
Exterior muy luminosa, consta de 3 dormitorios con cama de matrimonio y armarios empotrados, cocina totalmente equipada, que consta de un sofá y da acceso a una terraza con toldos, baño completo.
¿A QUÉ ESPERAS PARA VISITARLO?
";latina
825;Piso en Paseo de los Olivos Puerta del Ángel;39;1;Planta 1ª con ascensor;/inmueble/109263605/;"
Zazume te trae esta cómoda y acogedora vivienda EXTERIOR en Madrid.
*Contrato de larga estancia (5 años) de obligado cumplimiento 2 años. No se aceptan mascotas. *
En Zazume estaremos permanentemente a tu disposición para que tu hogar sea una experiencia inolvidable. ¡Alquila tu casa y dedícate a vivir!
Este inmuebl
";latina
1.270;Piso en Calle de Tembleque 103;70;2;Planta 6ª exterior con ascensor;/inmueble/109263044/;"
Particular alquila piso amplio, luminoso y recién reformado, a solo 300 m del metro Empalme. Zona muy tranquila, con excelente comunicación y todos los servicios cerca.
La vivienda se entrega amueblada. Una de las habitaciones aún no tiene cama ni escritorio, que se pondrán al gusto del inquilino.
Ideal para máximo 2
";latina
1.300;Piso en Paseo de Extremadura 157;85;2;Planta 2ª exterior con ascensor;/inmueble/103475030/;"
DISPONIBLE EN NOVIEMBRE
En el mismo Paseo de Extremadura, a 2 minutos de la parada de metro. Completamente reformado con calidades de lujo. Habitación principal de 20 metros con vestidor independiente de 6 metros lineales. Habitación secundaria con armario empotrado. Cocina equipada. Se alquila amueblado o parcialmente
";latina
1.300;Piso en Calle de José de Cadalso Águilas;63;3;Planta 5ª exterior con ascensor;/inmueble/109259367/;"
 AMPLIA Y LUMINOSA VIVIENDA EN ALQUILER – CALEFACCIÓN CENTRAL INCLUIDA
ALQUILER PROTEGIDO REAL ESTATE alquila este fantástico piso sin amueblar, ubicado en una séptima planta con ascensor, muy luminoso y con excelente distribución.
 Distribución:
Salón independiente con acceso a terraza exterior
Tres dormitorios
";latina
1.400;Piso en Paseo de Extremadura 113;74;1;Planta 3ª exterior con ascensor;/inmueble/98503665/;"
SOLUIN ofrece en alquiler formidable apartamento exterior, amplio y muy luminoso, con terraza, desde el que podrás contemplar unas estupendas vistas despejadas (increíbles amaneceres), en uno de los mejores distritos para vivir de Madrid, Latina. La vivienda cuenta, cómodamente distribuidos en sus 57 m2, con una agrada
";latina
1.700;Piso en Calle de Ocaña 66;65;2;Bajo exterior sin ascensor;/inmueble/109254950/;"
APARTAMENTO PARA ENTRADA INMEDIATA
Se alquila apartamento recién reformado, con un proyecto de decoración a estrenar y equipado con todo el material textil y de cocina necesario para entrar a vivir.
Muy luminoso, completamente exterior, con ventanas a un parque y a una calle tranquila. Cuenta con dos dormitorios y dos
";latina
1.800;Piso en Paseo de Extremadura 23;100;2;Planta 4ª exterior con ascensor;/inmueble/109253928/;"
Excelente piso en Paseo Extremadura, completamente reformado con 1 habitacion muy grande con baño incluido y un armario enorme. Otra habitación más pequeña y un baño aparte con lavadora y secadora. Salón muy grande, en la reforma suprimí una habitación para dársela al salón. Cocina también nueva, con friegaplatos y hor
";latina
1.450;Piso en Calle de Pericles Puerta del Ángel;72;3;Planta 2ª exterior sin ascensor;/inmueble/89880101/;"
INMOBILIARIA EMMANUEL
SIN COMISION DE AGENCIA
Ofrecemos este precioso piso en Calle Pericles. Amueblado, con materiales de primera calidad en un edificio rehabilitado íntegramente por nuestro equipo.
Wifi y limpieza básica semanal incluidos.
Está en Puerta del Ángel y cuenta con tres dormitorios, 1 cuarto de baño,
";latina
1.450;Piso en Calle de Pericles Puerta del Ángel;72;3;Planta 2ª exterior sin ascensor;/inmueble/98188982/;"
Ofrecemos este precioso piso en Calle Pericles. Amueblado, con materiales de primera calidad en un edificio rehabilitado íntegramente por nuestro equipo.
Wifi y limpieza básica semanal incluidos.
Está en Puerta del Ángel y cuenta con tres dormitorios, 1 cuarto de baño, salón-comedor y cocina completamente equipada.
D
";latina
1.700;Piso en CL Doña Berenguela Puerta del Ángel;91;2;Planta 1ª exterior sin ascensor;/inmueble/109251033/;"
**Piso Reformado en Alquiler - Junto a Casa de Campo y Madrid Río**
¡Descubre este espectacular piso reformado a estrenar! Situado en una zona tranquila y agradable, este hogar ofrece la combinación perfecta de confort y estilo. Con un amplio y luminoso salón exterior, decorado con vigas de madera en el techo y una en
";latina
950;Piso en Calle del Petirrojo Aluche;75;2;Planta 1ª exterior sin ascensor;/inmueble/109250023/;"
Piso de 75m2. Consta de dos amplias habitaciones con armarios empotrados, salón independiente, cocina amueblada y equipada y un baño completo. Suelos en parqué recién acuchillado y barnizado. Calefacción individual de gas natural. La vivienda esta recién pintada, es exterior y muy luminosa. La vivienda se entrega sin a
";latina
800;Estudio en Calle de Valmojado Aluche;Bajo;25;Publicado ayer ;/inmueble/109250021/;"
Estudio reformado de 25 m2. Consta de un salón/habitación, cocina amueblada y equipada y un baño completo con plato de ducha. Aire acondicionado de bomba frío/calor, armarios empotrados, suelo de tarima, ventanas climalit con excelente puente térmico. La vivienda es exterior y se entrega sin amueblar. Gastos de comunid
";latina
1.600;Piso en Calle de Antillón 3;65;3;Planta 2ª exterior sin ascensor;/inmueble/109249878/;"
¿Buscas una vivienda luminosa, exterior y con varios balcones a la calle? Urbantec Realty te presenta este piso recién amueblado de tres dormitorios y un baño, situado en Puerta del Ángel, una de las zonas más atractivas de Madrid, junto al barrio de La Latina y a un paso del centro histórico.
Al entrar, un pequeño pa
";latina
1.200;Piso en Calle Jaime Tercero 7;56;2;Bajo exterior con ascensor;/inmueble/109249166/;"
Estoy alquilando una planta baja muy luminosa en la calle Jaime Tercero. Tiene 56 m² distribuidos en dos dormitorios, salón, cocina independiente y un baño con plato de ducha.
El sofá nuevo está en camino y la nevera funciona pero compraré una nueva y mejor una vez el inquilino esté ya instalado.
La vivienda está co
";latina
1.350;Piso en Puerta del Ángel Madrid;75;3;Planta 3ª exterior con ascensor;/inmueble/100302606/;"
Se alquila piso totalmente exterior junto a la parada de metro Alto Extremadura. Dispone de 3 dormitorios, Salón, amplia cocina equipada con todos los electrodomésticos y un baño.
Semiamueblado, muy luminoso y soleado, aire acondicionado con bomba de calor.
Se pide un mes de fianza más mes en curso.
Requisitos de docum
";latina
1.650;Piso en Avenida de Portugal 131;94;3;Planta 11ª exterior con ascensor;/inmueble/97616999/;"
Vivienda nueva con reforma integral reciente (2022), pavimentos, ventanas, baños, iluminación, etc. , cocina nueva con todos los electrodomésticos nuevos (nevera, lavadora, lavaplatos, micro, placa, horno, campana), aire acondicionado, etc.
Piso muy tranquilo, con inmejorables vistas desde todas las estancias y mucha i
";latina
900;Piso en Calle de Cebreros Lucero;30;1;Bajo exterior sin ascensor;/inmueble/109245560/;"
GESPROMAR ALQUILA coqueto y luminoso loft de 25m², recién reformado para una o dos personas en el distrito de Latina, en una zona muy tranquila y ajardinada. En el barrio Lucero, a tan solo 5 min andando del metro. Linea 6, circular, muy bien comunicado. Con todo tipo de servicios alrededor. A pocos metros de la Casa d
";latina
950;Piso en Calle Fortuna Puerta del Ángel;35;1;Entreplanta exterior con ascensor;/inmueble/105932606/;"
AVC INMOBILIARIO ALQUILA: "" ALQUILER DE TEMPORADA hasta 11 meses. Espléndida vivienda AMUEBLADA en zona PUERTA del ÁNGEL. TOTALMENTE REFORMADA. Bajo muy luminoso, con luz natural durante todo el día. Se realizó una reforma integral con materiales de primera calidad. Con la reforma se aprovechó cada metro de la vivienda
";latina
1.450;Piso en Calle Caramuel Puerta del Ángel;72;2;Planta 2ª exterior sin ascensor;/inmueble/97428568/;"
Ofrecemos este precioso piso en la Calle Caramuel. Amueblado, con materiales de primera calidad en un edificio rehabilitado íntegramente por nuestro equipo. Wifi y limpieza básica semanal incluidos.
Está en Puerta del Ángel y cuenta con dos dormitorios, un cuarto de baño, salón-comedor, cocina completamente equipada y
";latina
850;Estudio en Paseo de Extremadura 122;Planta;38;10 sep ;/inmueble/109238611/;"
Se alquila apartamento para ESTUDANTE, preferiblemente chica.
Es una vivienda tipo loft. Ideal para una persona. La distribución, consta de salón con cocina americana, Dormitorio independiente y baño.
Se requiere avalistas y el alquiler será por 10 u 11 meses la duración del curso.
académico.
en la mensualidad se inclu
";latina
1.900;Piso en Calle de los Yébenes Aluche;125;4;Planta 1ª exterior con ascensor;/inmueble/109266526/;"
Agencia inmobiliaria de MADRID Oficina Tecnocasa Desarrollo inmobiliario Aluche-Los Yébenes S. L. de MADRID ALQUILA AMPLIA VIVIENDA DE 4 DORMITORIOS.
Vivienda con ascensor, calefacción central y parking comunitario. Dispone de conserje. Está distribuido en: Cocina, salón, 2 baños, 4 dormitorios, 2 terrazas y parking.
";latina
1.450;Piso en Calle de Caramuel Puerta del Ángel;72;2;Planta 2ª exterior sin ascensor;/inmueble/96204902/;"
Inmobiliaria Emmanuel
sin comision de agencia
Ofrecemos este precioso piso en la Calle Caramuel. Amueblado, con materiales de primera calidad en un edificio rehabilitado íntegramente por nuestro equipo. Wifi y limpieza básica semanal incluidos.
Está en Puerta del Ángel y cuenta con dos dormitorios, un cuarto de baño,
";latina
1.275;Piso en Calle de Maqueda Aluche;65;3;Planta 3ª exterior con ascensor;/inmueble/109265961/;"
• IDEAL PARA FAMILIA, TRABAJADORES
• Disponibilidad 1ª Semana de Octubre 2025
• Piso Distribuido en: 3 Habitaciones, 1 Cuarto de baño con plato de ducha, Cocina equipada, Salón
*Dispone de: Bomba frío/calor, Armarios, Calefacción: Gas Natural
*Finca con: Ascensor
• Estación de metro cercana:   Empalme (L5) también m
";latina
1.200;Estudio en Calle de Caramuel Puerta del Ángel;Bajo;50;;/inmueble/108531711/;"
GALOTA INVERSIÓN E INMOBILIARIA OFRECE ESTUDIO CÉNTRICO COMPLETAMENTE AMUEBLADO
*****Disponible el 1ro de Febrero de 2026****
Estancia mínima de 3 meses y máxima de 11 meses
Comunícate con nosotros escribiendo al WhatsApp 604_89_3314
Distribución:
- Área de dormir elevada y amueblada con cama doble y mesilla de no
";latina
1.100;Piso en Puerta del Ángel Madrid;45;1;Planta 1ª exterior sin ascensor;/inmueble/105339743/;"
MAGERIT HOMES ALQUILA INMEJORABLE PISO DE 1 DORMITORIO AMPLIO EN PUERTA DEL ANGEL ¡Descubre tu nuevo hogar en Puerta del Ángel! Este inmejorable piso de obra nueva te ofrece una vida de confort y modernidad. Con 45 metros cuadrados perfectamente distribuidos, disfrutarás de un amplio salón ideal para relajarte o recibi
";latina
900;Piso en Paseo De Extremadura Puerta del Ángel;50;1;Planta 1ª exterior sin ascensor;/inmueble/95331525/;"
ALQUILOFÁCIL MONCLOA alquila hermoso piso recién reformado!
Este piso sin amueblar cuenta con amplio y luminoso salón, con un precioso balcón, aire acondicionado, una habitación espaciosa, cocina completamente equipada con nevera, horno, lavadora, despensas, etc, cuenta con un baño completo con plato de ducha.
Está u
";latina
1.200;Piso en Calle de Pablo Sarasate 4;86;2;Planta 2ª exterior con ascensor;/inmueble/107393382/;"
Recién reformado a estrenar, piso muy luminoso y en zona tranquila.
Se alquila a través del plan alquila de la comunidad de Madrid, ellos se encargan de hacer un estudio de viabilidad, piden que el alquiler no supere el 40% de los ingresos totales de todos los inquilinos, por lo que los ingresos mensuales deben superar
";latina
1.750;Piso en Calle Villavieja Lucero;136;4;Planta 5ª exterior con ascensor;/inmueble/108724381/;"
¡Descubre esta fantástica oportunidad en la zona de Batan, en el distrito de Latina! Este amplio piso de 136 metros cuadrados, construido en 1971, combina comodidad y luminosidad en un entorno privilegiado. Con cuatro dormitorios y dos baños, es perfecto para familias que buscan espacio y funcionalidad.
La vivienda se
";latina
1.150;Piso en CL Arrayanes Aluche;67;2;Planta 3ª exterior con ascensor;/inmueble/109264693/;"
BASTIA INMOBILIARIA alquila excelente piso en Calle Arrayanes, Zona Latina.
Este moderno y luminoso piso de 67 m² construidos se encuentra en una tercera planta con ascensor, lo que facilita el acceso al inmueble. Con una distribución práctica y en muy buen estado de conservación, la vivienda cuenta con 2 habitaciones
";latina
1.850;Piso en Calle de Navas del Rey Puerta del Ángel;80;3;Planta 2ª exterior sin ascensor;/inmueble/109188341/;"
¡ALQUILOFACIL MONCLOA ALQUILA ESTUPENDO PISO EN MADRID!
DISPONIBILIDAD INMEDIATA
Exterior muy luminosa, consta de 3 dormitorios con cama de matrimonio y armarios empotrados, cocina totalmente equipada, que consta de un sofá y da acceso a una terraza con toldos, baño completo.
¿A QUÉ ESPERAS PARA VISITARLO?
";latina
825;Piso en Paseo de los Olivos Puerta del Ángel;39;1;Planta 1ª con ascensor;/inmueble/109263605/;"
Zazume te trae esta cómoda y acogedora vivienda EXTERIOR en Madrid.
*Contrato de larga estancia (5 años) de obligado cumplimiento 2 años. No se aceptan mascotas. *
En Zazume estaremos permanentemente a tu disposición para que tu hogar sea una experiencia inolvidable. ¡Alquila tu casa y dedícate a vivir!
Este inmuebl
";latina
1.270;Piso en Calle de Tembleque 103;70;2;Planta 6ª exterior con ascensor;/inmueble/109263044/;"
Particular alquila piso amplio, luminoso y recién reformado, a solo 300 m del metro Empalme. Zona muy tranquila, con excelente comunicación y todos los servicios cerca.
La vivienda se entrega amueblada. Una de las habitaciones aún no tiene cama ni escritorio, que se pondrán al gusto del inquilino.
Ideal para máximo 2
";latina
1.300;Piso en Paseo de Extremadura 157;85;2;Planta 2ª exterior con ascensor;/inmueble/103475030/;"
DISPONIBLE EN NOVIEMBRE
En el mismo Paseo de Extremadura, a 2 minutos de la parada de metro. Completamente reformado con calidades de lujo. Habitación principal de 20 metros con vestidor independiente de 6 metros lineales. Habitación secundaria con armario empotrado. Cocina equipada. Se alquila amueblado o parcialmente
";latina
1.300;Piso en Calle de José de Cadalso Águilas;63;3;Planta 5ª exterior con ascensor;/inmueble/109259367/;"
 AMPLIA Y LUMINOSA VIVIENDA EN ALQUILER – CALEFACCIÓN CENTRAL INCLUIDA
ALQUILER PROTEGIDO REAL ESTATE alquila este fantástico piso sin amueblar, ubicado en una séptima planta con ascensor, muy luminoso y con excelente distribución.
 Distribución:
Salón independiente con acceso a terraza exterior
Tres dormitorios
";latina
1.400;Piso en Paseo de Extremadura 113;74;1;Planta 3ª exterior con ascensor;/inmueble/98503665/;"
SOLUIN ofrece en alquiler formidable apartamento exterior, amplio y muy luminoso, con terraza, desde el que podrás contemplar unas estupendas vistas despejadas (increíbles amaneceres), en uno de los mejores distritos para vivir de Madrid, Latina. La vivienda cuenta, cómodamente distribuidos en sus 57 m2, con una agrada
";latina
1.700;Piso en Calle de Ocaña 66;65;2;Bajo exterior sin ascensor;/inmueble/109254950/;"
APARTAMENTO PARA ENTRADA INMEDIATA
Se alquila apartamento recién reformado, con un proyecto de decoración a estrenar y equipado con todo el material textil y de cocina necesario para entrar a vivir.
Muy luminoso, completamente exterior, con ventanas a un parque y a una calle tranquila. Cuenta con dos dormitorios y dos
";latina
1.800;Piso en Paseo de Extremadura 23;100;2;Planta 4ª exterior con ascensor;/inmueble/109253928/;"
Excelente piso en Paseo Extremadura, completamente reformado con 1 habitacion muy grande con baño incluido y un armario enorme. Otra habitación más pequeña y un baño aparte con lavadora y secadora. Salón muy grande, en la reforma suprimí una habitación para dársela al salón. Cocina también nueva, con friegaplatos y hor
";latina
1.450;Piso en Calle de Pericles Puerta del Ángel;72;3;Planta 2ª exterior sin ascensor;/inmueble/89880101/;"
INMOBILIARIA EMMANUEL
SIN COMISION DE AGENCIA
Ofrecemos este precioso piso en Calle Pericles. Amueblado, con materiales de primera calidad en un edificio rehabilitado íntegramente por nuestro equipo.
Wifi y limpieza básica semanal incluidos.
Está en Puerta del Ángel y cuenta con tres dormitorios, 1 cuarto de baño,
";latina
1.450;Piso en Calle de Pericles Puerta del Ángel;72;3;Planta 2ª exterior sin ascensor;/inmueble/98188982/;"
Ofrecemos este precioso piso en Calle Pericles. Amueblado, con materiales de primera calidad en un edificio rehabilitado íntegramente por nuestro equipo.
Wifi y limpieza básica semanal incluidos.
Está en Puerta del Ángel y cuenta con tres dormitorios, 1 cuarto de baño, salón-comedor y cocina completamente equipada.
D
";latina
1.700;Piso en CL Doña Berenguela Puerta del Ángel;91;2;Planta 1ª exterior sin ascensor;/inmueble/109251033/;"
**Piso Reformado en Alquiler - Junto a Casa de Campo y Madrid Río**
¡Descubre este espectacular piso reformado a estrenar! Situado en una zona tranquila y agradable, este hogar ofrece la combinación perfecta de confort y estilo. Con un amplio y luminoso salón exterior, decorado con vigas de madera en el techo y una en
";latina
950;Piso en Calle del Petirrojo Aluche;75;2;Planta 1ª exterior sin ascensor;/inmueble/109250023/;"
Piso de 75m2. Consta de dos amplias habitaciones con armarios empotrados, salón independiente, cocina amueblada y equipada y un baño completo. Suelos en parqué recién acuchillado y barnizado. Calefacción individual de gas natural. La vivienda esta recién pintada, es exterior y muy luminosa. La vivienda se entrega sin a
";latina
800;Estudio en Calle de Valmojado Aluche;Bajo;25;Publicado ayer ;/inmueble/109250021/;"
Estudio reformado de 25 m2. Consta de un salón/habitación, cocina amueblada y equipada y un baño completo con plato de ducha. Aire acondicionado de bomba frío/calor, armarios empotrados, suelo de tarima, ventanas climalit con excelente puente térmico. La vivienda es exterior y se entrega sin amueblar. Gastos de comunid
";latina
1.600;Piso en Calle de Antillón 3;65;3;Planta 2ª exterior sin ascensor;/inmueble/109249878/;"
¿Buscas una vivienda luminosa, exterior y con varios balcones a la calle? Urbantec Realty te presenta este piso recién amueblado de tres dormitorios y un baño, situado en Puerta del Ángel, una de las zonas más atractivas de Madrid, junto al barrio de La Latina y a un paso del centro histórico.
Al entrar, un pequeño pa
";latina
1.200;Piso en Calle Jaime Tercero 7;56;2;Bajo exterior con ascensor;/inmueble/109249166/;"
Estoy alquilando una planta baja muy luminosa en la calle Jaime Tercero. Tiene 56 m² distribuidos en dos dormitorios, salón, cocina independiente y un baño con plato de ducha.
El sofá nuevo está en camino y la nevera funciona pero compraré una nueva y mejor una vez el inquilino esté ya instalado.
La vivienda está co
";latina
1.350;Piso en Puerta del Ángel Madrid;75;3;Planta 3ª exterior con ascensor;/inmueble/100302606/;"
Se alquila piso totalmente exterior junto a la parada de metro Alto Extremadura. Dispone de 3 dormitorios, Salón, amplia cocina equipada con todos los electrodomésticos y un baño.
Semiamueblado, muy luminoso y soleado, aire acondicionado con bomba de calor.
Se pide un mes de fianza más mes en curso.
Requisitos de docum
";latina
1.650;Piso en Avenida de Portugal 131;94;3;Planta 11ª exterior con ascensor;/inmueble/97616999/;"
Vivienda nueva con reforma integral reciente (2022), pavimentos, ventanas, baños, iluminación, etc. , cocina nueva con todos los electrodomésticos nuevos (nevera, lavadora, lavaplatos, micro, placa, horno, campana), aire acondicionado, etc.
Piso muy tranquilo, con inmejorables vistas desde todas las estancias y mucha i
";latina
900;Piso en Calle de Cebreros Lucero;30;1;Bajo exterior sin ascensor;/inmueble/109245560/;"
GESPROMAR ALQUILA coqueto y luminoso loft de 25m², recién reformado para una o dos personas en el distrito de Latina, en una zona muy tranquila y ajardinada. En el barrio Lucero, a tan solo 5 min andando del metro. Linea 6, circular, muy bien comunicado. Con todo tipo de servicios alrededor. A pocos metros de la Casa d
";latina
950;Piso en Calle Fortuna Puerta del Ángel;35;1;Entreplanta exterior con ascensor;/inmueble/105932606/;"
AVC INMOBILIARIO ALQUILA: "" ALQUILER DE TEMPORADA hasta 11 meses. Espléndida vivienda AMUEBLADA en zona PUERTA del ÁNGEL. TOTALMENTE REFORMADA. Bajo muy luminoso, con luz natural durante todo el día. Se realizó una reforma integral con materiales de primera calidad. Con la reforma se aprovechó cada metro de la vivienda
";latina
1.450;Piso en Calle Caramuel Puerta del Ángel;72;2;Planta 2ª exterior sin ascensor;/inmueble/97428568/;"
Ofrecemos este precioso piso en la Calle Caramuel. Amueblado, con materiales de primera calidad en un edificio rehabilitado íntegramente por nuestro equipo. Wifi y limpieza básica semanal incluidos.
Está en Puerta del Ángel y cuenta con dos dormitorios, un cuarto de baño, salón-comedor, cocina completamente equipada y
";latina
850;Estudio en Paseo de Extremadura 122;Planta;38;10 sep ;/inmueble/109238611/;"
Se alquila apartamento para ESTUDANTE, preferiblemente chica.
Es una vivienda tipo loft. Ideal para una persona. La distribución, consta de salón con cocina americana, Dormitorio independiente y baño.
Se requiere avalistas y el alquiler será por 10 u 11 meses la duración del curso.
académico.
en la mensualidad se inclu
";latina
1.900;Piso en Calle de los Yébenes Aluche;125;4;Planta 1ª exterior con ascensor;/inmueble/109266526/;"
Agencia inmobiliaria de MADRID Oficina Tecnocasa Desarrollo inmobiliario Aluche-Los Yébenes S. L. de MADRID ALQUILA AMPLIA VIVIENDA DE 4 DORMITORIOS.
Vivienda con ascensor, calefacción central y parking comunitario. Dispone de conserje. Está distribuido en: Cocina, salón, 2 baños, 4 dormitorios, 2 terrazas y parking.
";latina
1.450;Piso en Calle de Caramuel Puerta del Ángel;72;2;Planta 2ª exterior sin ascensor;/inmueble/96204902/;"
Inmobiliaria Emmanuel
sin comision de agencia
Ofrecemos este precioso piso en la Calle Caramuel. Amueblado, con materiales de primera calidad en un edificio rehabilitado íntegramente por nuestro equipo. Wifi y limpieza básica semanal incluidos.
Está en Puerta del Ángel y cuenta con dos dormitorios, un cuarto de baño,
";latina
1.275;Piso en Calle de Maqueda Aluche;65;3;Planta 3ª exterior con ascensor;/inmueble/109265961/;"
• IDEAL PARA FAMILIA, TRABAJADORES
• Disponibilidad 1ª Semana de Octubre 2025
• Piso Distribuido en: 3 Habitaciones, 1 Cuarto de baño con plato de ducha, Cocina equipada, Salón
*Dispone de: Bomba frío/calor, Armarios, Calefacción: Gas Natural
*Finca con: Ascensor
• Estación de metro cercana:   Empalme (L5) también m
";latina
1.200;Estudio en Calle de Caramuel Puerta del Ángel;Bajo;50;;/inmueble/108531711/;"
GALOTA INVERSIÓN E INMOBILIARIA OFRECE ESTUDIO CÉNTRICO COMPLETAMENTE AMUEBLADO
*****Disponible el 1ro de Febrero de 2026****
Estancia mínima de 3 meses y máxima de 11 meses
Comunícate con nosotros escribiendo al WhatsApp 604_89_3314
Distribución:
- Área de dormir elevada y amueblada con cama doble y mesilla de no
";latina
1.100;Piso en Puerta del Ángel Madrid;45;1;Planta 1ª exterior sin ascensor;/inmueble/105339743/;"
MAGERIT HOMES ALQUILA INMEJORABLE PISO DE 1 DORMITORIO AMPLIO EN PUERTA DEL ANGEL ¡Descubre tu nuevo hogar en Puerta del Ángel! Este inmejorable piso de obra nueva te ofrece una vida de confort y modernidad. Con 45 metros cuadrados perfectamente distribuidos, disfrutarás de un amplio salón ideal para relajarte o recibi
";latina
900;Piso en Paseo De Extremadura Puerta del Ángel;50;1;Planta 1ª exterior sin ascensor;/inmueble/95331525/;"
ALQUILOFÁCIL MONCLOA alquila hermoso piso recién reformado!
Este piso sin amueblar cuenta con amplio y luminoso salón, con un precioso balcón, aire acondicionado, una habitación espaciosa, cocina completamente equipada con nevera, horno, lavadora, despensas, etc, cuenta con un baño completo con plato de ducha.
Está u
";latina
