precio,localidad,tamanio,habitaciones,descripcion,link,descripcion_larga,distrito
239.900,Piso en Calle Ezcaray 22,65,3,Bajo exterior sin ascensor,/inmueble/108704586/,"
Tengotucasa presenta esta estupenda vivienda de 3 habitaciones, totalmente exterior, reformada y decorada por Decor@rte Madrid, por lo que está lista para entrar a vivir. Se trata de una excelente oportunidad de inversión, con un alquiler estimado en la zona de 1.200 euros mensuales, lo que garantiza una buena rentabil
",vicalvaro
368.900,Piso en Avenida Provisional Ahijones Berrocales Cuatro 85,91,2,Planta 4ª exterior con ascensor,/inmueble/109231200/,"
Pisos de 2, 3 y 4 dormitorios con plaza de garaje y trastero incluido.
Tu nueva vida empieza aquí: pisos de obra nueva en Madrid con todo lo que necesitas
Si estás buscando una vivienda nueva en Madrid que combine confort, eficiencia energética, diseño y una excelente ubicación, Residencial Ipanema es la oportunidad
",vicalvaro
377.900,Piso en Avenida Provisional Ahijones Berrocales Cuatro 85,82,2,Planta 1ª exterior con ascensor,/inmueble/109231098/,"
Pisos de 2, 3 y 4 dormitorios con plaza de garaje y trastero incluido.
Tu nueva vida empieza aquí: pisos de obra nueva en Madrid con todo lo que necesitas
Si estás buscando una vivienda nueva en Madrid que combine confort, eficiencia energética, diseño y una excelente ubicación, Residencial Ipanema es la oportunidad
",vicalvaro
450.900,Piso en Avenida Provisional Ahijones Berrocales Cuatro 85,120,3,Planta 3ª exterior con ascensor,/inmueble/109231159/,"
Pisos de 2, 3 y 4 dormitorios con plaza de garaje y trastero incluido.
Tu nueva vida empieza aquí: pisos de obra nueva en Madrid con todo lo que necesitas
Si estás buscando una vivienda nueva en Madrid que combine confort, eficiencia energética, diseño y una excelente ubicación, Residencial Ipanema es la oportunidad
",vicalvaro
450.000,Piso en Cerro del Campo 31,67,2,Planta 7ª exterior con ascensor,/inmueble/109213750/,"
Limea Suites: Tu hogar, donde la calidad se siente
Limea Suites es una exclusiva promoción de 94 viviendas distribuidas en dos torres, con una amplia zona común que invita al disfrute y la convivencia. Ofrece viviendas de 2 y 3 dormitorios, incluyendo viviendas en plantas baja con grandes terrazas y espectaculares áti
",vicalvaro
500.000,Piso en Calle de la Ilusión 52,119,3,Planta 1ª exterior con ascensor,/inmueble/109164760/,"
LICENCIA DE OBRA CONCEDIDA
Edificio Tabit IV cuenta con 89 viviendas de 2 y 3 dormitorios, todas con terrazas, bajos con jardín y espléndidos áticos. Todas las tipologías disponen, además, de trastero y plaza de garaje, con preinstalación eléctrica para carga de vehículos.
Un complejo con unas zonas comunes espectacu
",vicalvaro
485.000,Piso en Cerro del Campo 31,96,3,Planta 4ª exterior con ascensor,/inmueble/109095560/,"
Limea Suites: Tu hogar, donde la calidad se siente
Limea Suites es una exclusiva promoción de 94 viviendas distribuidas en dos torres, con una amplia zona común que invita al disfrute y la convivencia. Ofrece viviendas de 2 y 3 dormitorios, incluyendo viviendas en plantas baja con grandes terrazas y espectaculares áti
",vicalvaro
487.300,Piso en Calle de la Ilusión 52,119,3,Planta 2ª exterior con ascensor,/inmueble/109164645/,"
LICENCIA DE OBRA CONCEDIDA
Edificio Tabit IV cuenta con 89 viviendas de 2 y 3 dormitorios, todas con terrazas, bajos con jardín y espléndidos áticos. Todas las tipologías disponen, además, de trastero y plaza de garaje, con preinstalación eléctrica para carga de vehículos.
Un complejo con unas zonas comunes espectacu
",vicalvaro
470.000,Piso en Cerro del Campo 31,96,3,Planta 4ª exterior con ascensor,/inmueble/109095533/,"
Limea Suites: Tu hogar, donde la calidad se siente
Limea Suites es una exclusiva promoción de 94 viviendas distribuidas en dos torres, con una amplia zona común que invita al disfrute y la convivencia. Ofrece viviendas de 2 y 3 dormitorios, incluyendo viviendas en plantas baja con grandes terrazas y espectaculares áti
",vicalvaro
494.300,Piso en Calle de la Ilusión 52,119,3,Planta 3ª exterior con ascensor,/inmueble/109164910/,"
LICENCIA DE OBRA CONCEDIDA
Edificio Tabit IV cuenta con 89 viviendas de 2 y 3 dormitorios, todas con terrazas, bajos con jardín y espléndidos áticos. Todas las tipologías disponen, además, de trastero y plaza de garaje, con preinstalación eléctrica para carga de vehículos.
Un complejo con unas zonas comunes espectacu
",vicalvaro
417.900,Piso en Calle Provisional Berrocales Ochenta y Uno 10,87,2,Planta 4ª exterior con ascensor,/inmueble/107489312/,"
Obras iniciadas.
En DOMUS hay viviendas disponibles de 1, 2 y 3 dormitorios en diferentes alturas, pero en este momento solo están a la venta las viviendas detalladas.
Célere Domus está ubicado en el nuevo desarrollo urbanístico de los Berrocales, situado en el sureste de Madrid, entre Ensanche de Vallecas y Santa Eu
",vicalvaro
285.000,Piso en Calle Provisional Berrocales Setenta y Nueve 28,77,1,Planta 2ª exterior con ascensor,/inmueble/108750263/,"
¡ÚLTIMAS 4 VIVIENDAS!
Collado de Sueños, S. Coop. Mad"", una exclusiva promoción en régimen de cooperativa que ofrece 26 viviendas libres de 1, 2 y 3 dormitorios, todas con terraza y distribuidas en dos portales. Ubicada en el centro de la Etapa III.
El proyecto incluye espectaculares bajos con jardín y áticos con amp
",vicalvaro
682.900,Piso en Vereda de la Cebolla s/n,183,4,Planta 7ª exterior con ascensor,/inmueble/108227939/,"
Terraza de 60,91 m2.
Pisos, áticos y bajos en El Cañaveral, con amplias terrazas
Tu nuevo hogar con entrega prevista en 2027 ¡Obras en marcha!
Residencial Toscana está ubicado en El Cañaveral, uno de los barrios más consolidados del sureste de Madrid, este residencial ya está en construcción y tiene fecha de entreg
",vicalvaro
410.900,Piso en Vereda de la Cebolla s/n,83,2,Planta 2ª exterior con ascensor,/inmueble/107747936/,"
Terraza de 8,23m2.
Pisos, áticos y bajos en El Cañaveral, con amplias terrazas
Tu nuevo hogar con entrega prevista en 2027 ¡Obras en marcha!
Residencial Toscana está ubicado en El Cañaveral, uno de los barrios más consolidados del sureste de Madrid, este residencial ya está en construcción y tiene fecha de entrega
",vicalvaro
511.900,Piso en Vereda de la Cebolla s/n,115,3,Planta 5ª exterior con ascensor,/inmueble/107747899/,"
Terraza de 18,90m2.
Pisos, áticos y bajos en El Cañaveral, con amplias terrazas
Tu nuevo hogar con entrega prevista en 2027 ¡Obras en marcha!
Residencial Toscana está ubicado en El Cañaveral, uno de los barrios más consolidados del sureste de Madrid, este residencial ya está en construcción y tiene fecha de entrega
",vicalvaro
368.000,Piso en Calle Parcela 6.18.2 Etapa 3,137,2,Bajo exterior con ascensor,/inmueble/108381311/,"
INGESCASA gestiona y comercializa en Los Berrocales, uno de los cinco grandes Desarrollos del Sureste, perteneciente al distrito de Vicálvaro, un nuevo Proyecto en régimen de Cooperativa para “Torreón de Sueños, S. Coop. Mad” Con 27 Viviendas Libres de 1, 2 y 3 dormitorios todas ellas con terraza, incluyendo magníficos
",vicalvaro
515.000,Piso en Calle Provisional Berrocales Setenta y Nueve 28,161,3,Planta 3ª exterior con ascensor,/inmueble/108750317/,"
¡ÚLTIMAS 4 VIVIENDAS!
Collado de Sueños, S. Coop. Mad"", una exclusiva promoción en régimen de cooperativa que ofrece 26 viviendas libres de 1, 2 y 3 dormitorios, todas con terraza y distribuidas en dos portales. Ubicada en el centro de la Etapa III.
El proyecto incluye espectaculares bajos con jardín y áticos con amp
",vicalvaro
